ID,Year,Month,Day,Title,URL
3207227,1403,09,05,رزمایش ایران و آذربایجان در بالاترین سطح آمادگی اجرا می شود,https://www.tasnimnews.com/fa/news/1403/09/05/3207227/رزمایش-ایران-و-آذربایجان-در-بالاترین-سطح-آمادگی-اجرا-می-شود
3207008,1403,09,05,باقری قدرت دریایی پیشران پیوند ایران با جهان اسلام است,https://www.tasnimnews.com/fa/news/1403/09/05/3207008/باقری-قدرت-دریایی-پیشران-پیوند-ایران-با-جهان-اسلام-است
3206912,1403,09,05,آمادگی 62 هزار گروه جهادی بسیج برای کمک به دولت,https://www.tasnimnews.com/fa/news/1403/09/05/3206912/آمادگی-62-هزار-گروه-جهادی-بسیج-برای-کمک-به-دولت
3206785,1403,09,04,رزمایش مشترک ایران و جمهوری آذربایجان آغاز شد,https://www.tasnimnews.com/fa/news/1403/09/04/3206785/رزمایش-مشترک-ایران-و-جمهوری-آذربایجان-آغاز-شد
3205769,1403,09,04,اختصاصی رکوردشکنی ناوشکن سبلان با نصب 16 موشک کروز,https://www.tasnimnews.com/fa/news/1403/09/04/3205769/اختصاصی-رکوردشکنی-ناوشکن-سبلان-با-نصب-16-موشک-کروز
3206182,1403,09,04,بسیج بستری مطمئن برای رشد و بالندگی نسل جوان کشور است,https://www.tasnimnews.com/fa/news/1403/09/04/3206182/بسیج-بستری-مطمئن-برای-رشد-و-بالندگی-نسل-جوان-کشور-است
3205843,1403,09,03,پیام تبریک وزیر دفاع به مناسبت سالروز تشکیل بسیج مستضعفین,https://www.tasnimnews.com/fa/news/1403/09/03/3205843/پیام-تبریک-وزیر-دفاع-به-مناسبت-سالروز-تشکیل-بسیج-مستضعفین
3205498,1403,09,03,امیر ایرانی به زودی زیردریایی های جدید به ارتش ملحق می شود,https://www.tasnimnews.com/fa/news/1403/09/03/3205498/امیر-ایرانی-به-زودی-زیردریایی-های-جدید-به-ارتش-ملحق-می-شود
3205110,1403,09,02,وزیر دفاع با رئیس جمهور ونزوئلا دیدار کرد,https://www.tasnimnews.com/fa/news/1403/09/02/3205110/وزیر-دفاع-با-رئیس-جمهور-ونزوئلا-دیدار-کرد
3205107,1403,09,02,نشست کمیسیون مشترک همکاری های اقتصادی ایران و ونزوئلا,https://www.tasnimnews.com/fa/news/1403/09/02/3205107/نشست-کمیسیون-مشترک-همکاری-های-اقتصادی-ایران-و-ونزوئلا
3205073,1403,09,02,وحیدی از تحریم ها هراسی نداریم سر تعظیم فرود نمی آوریم,https://www.tasnimnews.com/fa/news/1403/09/02/3205073/وحیدی-از-تحریم-ها-هراسی-نداریم-سر-تعظیم-فرود-نمی-آوریم
3205041,1403,09,02,سلامی از اسرائیل انتقام می گیریم موتور حزب الله روشن شد,https://www.tasnimnews.com/fa/news/1403/09/02/3205041/سلامی-از-اسرائیل-انتقام-می-گیریم-موتور-حزب-الله-روشن-شد
3205034,1403,09,02,تسلیت سرلشکر سلامی برای درگذشت مادر شهیدان نمکی,https://www.tasnimnews.com/fa/news/1403/09/02/3205034/تسلیت-سرلشکر-سلامی-برای-درگذشت-مادر-شهیدان-نمکی
3204709,1403,09,01,سرلشکر باقری الگوی بسیج پیشران حرکت های مقاومت منطقه است,https://www.tasnimnews.com/fa/news/1403/09/01/3204709/سرلشکر-باقری-الگوی-بسیج-پیشران-حرکت-های-مقاومت-منطقه-است
3204511,1403,09,01,دیدار وزیر دفاع با وزرای ونزوئلا در سفر به کاراکاس,https://www.tasnimnews.com/fa/news/1403/09/01/3204511/دیدار-وزیر-دفاع-با-وزرای-ونزوئلا-در-سفر-به-کاراکاس
3204478,1403,09,01,اهدای نشان فداکاری به خانواده شهدای اخیر پدافند هوایی,https://www.tasnimnews.com/fa/news/1403/09/01/3204478/اهدای-نشان-فداکاری-به-خانواده-شهدای-اخیر-پدافند-هوایی
3204311,1403,08,30,مومنی تاریخ دلاوری های بسیجیان را فراموش نمی کند,https://www.tasnimnews.com/fa/news/1403/08/30/3204311/مومنی-تاریخ-دلاوری-های-بسیجیان-را-فراموش-نمی-کند
3204282,1403,08,30,سپاه تا 4 سال آینده به مدار 36هزار کیلومتری زمین می رسد,https://www.tasnimnews.com/fa/news/1403/08/30/3204282/سپاه-تا-4-سال-آینده-به-مدار-36هزار-کیلومتری-زمین-می-رسد
3203846,1403,08,30,سلامی امام خامنه ای در مقابل قدرت های جهانی ایستاده است,https://www.tasnimnews.com/fa/news/1403/08/30/3203846/سلامی-امام-خامنه-ای-در-مقابل-قدرت-های-جهانی-ایستاده-است
3203776,1403,08,30,سرلشکر صفوی حامی دولت هستیم تا کارها را پیش ببرد,https://www.tasnimnews.com/fa/news/1403/08/30/3203776/سرلشکر-صفوی-حامی-دولت-هستیم-تا-کارها-را-پیش-ببرد
3203654,1403,08,30,تأکید فرمانده کل قوا و رئیس جمهور بر توسعه همکاری با ونزوئلا,https://www.tasnimnews.com/fa/news/1403/08/30/3203654/تأکید-فرمانده-کل-قوا-و-رئیس-جمهور-بر-توسعه-همکاری-با-ونزوئلا
3203616,1403,08,30,ویترین تسنیم شماره 791,https://www.tasnimnews.com/fa/news/1403/08/30/3203616/ویترین-تسنیم-شماره-791
3203417,1403,08,29,وزیر دفاع به ونزوئلا سفر کرد,https://www.tasnimnews.com/fa/news/1403/08/29/3203417/وزیر-دفاع-به-ونزوئلا-سفر-کرد
3203078,1403,08,29,سلیمانی امروز باید میدان جدیدی علیه رژیم صهیونیستی باز شود,https://www.tasnimnews.com/fa/news/1403/08/29/3203078/سلیمانی-امروز-باید-میدان-جدیدی-علیه-رژیم-صهیونیستی-باز-شود
3202971,1403,08,29,فرمانده کل ارتش بسیج راه گشای موانع بسیاری بوده است,https://www.tasnimnews.com/fa/news/1403/08/29/3202971/فرمانده-کل-ارتش-بسیج-راه-گشای-موانع-بسیاری-بوده-است
3202758,1403,08,28,برگزاری نشست کمیسیون مشترک نظامی ایران و آذربایجان,https://www.tasnimnews.com/fa/news/1403/08/28/3202758/برگزاری-نشست-کمیسیون-مشترک-نظامی-ایران-و-آذربایجان
3202667,1403,08,28,مراسم بزرگداشت سردار نیلفروشان برگزار می شود,https://www.tasnimnews.com/fa/news/1403/08/28/3202667/مراسم-بزرگداشت-سردار-نیلفروشان-برگزار-می-شود
3202608,1403,08,28,سرلشکر موسوی ارتش قابلیت تاثیرگذاری بر فرهنگ کشور را دارد,https://www.tasnimnews.com/fa/news/1403/08/28/3202608/سرلشکر-موسوی-ارتش-قابلیت-تاثیرگذاری-بر-فرهنگ-کشور-را-دارد
3202366,1403,08,28,بیانیه سپاه به مناسبت شهادت مسئول رسانه ای حزب الله,https://www.tasnimnews.com/fa/news/1403/08/28/3202366/بیانیه-سپاه-به-مناسبت-شهادت-مسئول-رسانه-ای-حزب-الله
3202290,1403,08,28,سردار حسن زاده بسیج بزرگترین شبکه اجتماعی جهان اسلام است,https://www.tasnimnews.com/fa/news/1403/08/28/3202290/سردار-حسن-زاده-بسیج-بزرگترین-شبکه-اجتماعی-جهان-اسلام-است
3202139,1403,08,28,ویترین تسنیم شماره 789,https://www.tasnimnews.com/fa/news/1403/08/28/3202139/ویترین-تسنیم-شماره-789
3201966,1403,08,27,وزیر دفاع بر استمرار پشتیبانی ایران از محور مقاومت تاکید کرد,https://www.tasnimnews.com/fa/news/1403/08/27/3201966/وزیر-دفاع-بر-استمرار-پشتیبانی-ایران-از-محور-مقاومت-تاکید-کرد
3201878,1403,08,27,حزب الله چگونه مانع ورود اسرائیل به لبنان می شود,https://www.tasnimnews.com/fa/news/1403/08/27/3201878/حزب-الله-چگونه-مانع-ورود-اسرائیل-به-لبنان-می-شود
3201841,1403,08,27,دیدار وزیر دفاع با بشار اسد رئیس جمهور سوریه,https://www.tasnimnews.com/fa/news/1403/08/27/3201841/دیدار-وزیر-دفاع-با-بشار-اسد-رئیس-جمهور-سوریه
3201792,1403,08,27,گروه هکری حنظله آفند سایبری 400 روزه علیه رژیم صهیونیستی,https://www.tasnimnews.com/fa/news/1403/08/27/3201792/گروه-هکری-حنظله-آفند-سایبری-400-روزه-علیه-رژیم-صهیونیستی
3201718,1403,08,27,وزیر دفاع با رئیس ستاد ارتش و نیروهای مسلح سوریه دیدار کرد,https://www.tasnimnews.com/fa/news/1403/08/27/3201718/وزیر-دفاع-با-رئیس-ستاد-ارتش-و-نیروهای-مسلح-سوریه-دیدار-کرد
3201682,1403,08,27,دانشگاه امام حسین مهد پرورش انسانهای مقاوم و بامسئولیت است,https://www.tasnimnews.com/fa/news/1403/08/27/3201682/دانشگاه-امام-حسین-مهد-پرورش-انسانهای-مقاوم-و-بامسئولیت-است
3201594,1403,08,27,معروفی رسالت بسیج حفظ و نگهداری انقلاب اسلامی است,https://www.tasnimnews.com/fa/news/1403/08/27/3201594/معروفی-رسالت-بسیج-حفظ-و-نگهداری-انقلاب-اسلامی-است
3201580,1403,08,27,فرمانده جدید دانشگاه افسری امام حسین ع معرفی شد,https://www.tasnimnews.com/fa/news/1403/08/27/3201580/فرمانده-جدید-دانشگاه-افسری-امام-حسین-ع-معرفی-شد
3201473,1403,08,27,دیدار وزرای دفاع ایران و سوریه در دمشق,https://www.tasnimnews.com/fa/news/1403/08/27/3201473/دیدار-وزرای-دفاع-ایران-و-سوریه-در-دمشق
3201465,1403,08,27,سالن بازی جنگ در دانشگاه سپاه افتتاح شد,https://www.tasnimnews.com/fa/news/1403/08/27/3201465/سالن-بازی-جنگ-در-دانشگاه-سپاه-افتتاح-شد
3201358,1403,08,26,وزیر دفاع در دمشق آماده کمک به سوریه هستیم,https://www.tasnimnews.com/fa/news/1403/08/26/3201358/وزیر-دفاع-در-دمشق-آماده-کمک-به-سوریه-هستیم
3201340,1403,08,26,وزیر دفاع وارد دمشق شد,https://www.tasnimnews.com/fa/news/1403/08/26/3201340/وزیر-دفاع-وارد-دمشق-شد
3200419,1403,08,25,اهدای نشان فداکاری به خانواده شهید پدافند هوایی,https://www.tasnimnews.com/fa/news/1403/08/25/3200419/اهدای-نشان-فداکاری-به-خانواده-شهید-پدافند-هوایی
3199962,1403,08,24,هلاکت تعدادی تروریست در راسک سپاه در حال پاکسازی منطقه,https://www.tasnimnews.com/fa/news/1403/08/24/3199962/هلاکت-تعدادی-تروریست-در-راسک-سپاه-در-حال-پاکسازی-منطقه
3199881,1403,08,24,کتاب رخدادهای موشکی رونمایی شد,https://www.tasnimnews.com/fa/news/1403/08/24/3199881/کتاب-رخدادهای-موشکی-رونمایی-شد
3199813,1403,08,24,حزب الله لبنان با کدام موشک ایرانی به اسرائیل حمله کرد,https://www.tasnimnews.com/fa/news/1403/08/24/3199813/حزب-الله-لبنان-با-کدام-موشک-ایرانی-به-اسرائیل-حمله-کرد
3199847,1403,08,24,قالیباف 40سال توانمندی درصنعت موشکی نماد ما می توانیم است,https://www.tasnimnews.com/fa/news/1403/08/24/3199847/قالیباف-40سال-توانمندی-درصنعت-موشکی-نماد-ما-می-توانیم-است
3199845,1403,08,24,سرلشکرسلامی انتقام گرفتن ایران قطعی است,https://www.tasnimnews.com/fa/news/1403/08/24/3199845/سرلشکرسلامی-انتقام-گرفتن-ایران-قطعی-است
3199803,1403,08,24,برگزاری رزمایش بزرگ نصرالله با حضور سرلشکر سلامی,https://www.tasnimnews.com/fa/news/1403/08/24/3199803/برگزاری-رزمایش-بزرگ-نصرالله-با-حضور-سرلشکر-سلامی
